"","coords.FSC","coords.SSC","total_points","points_clustered","perc_clustered","silhouette_score"
"map1",18.3726051179619,17.0390065446411,140769,2487,1.7667242077446,-0.0122618415208051
"map2",17.8975960081503,15.3653515036143,110978,9345,8.42058786426139,-0.000885001035198718
