"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
159082,14273,130,49,104,345,157878,18118,142,34,171,253,43,177
146565,28669,82,38,192,416,143472,40509,78,12,206,186,42,180
160995,53540,119,167,179,313,159835,72049,121,131,143,182,42,183
390574,9257,66,0,209,396,314141,10121,84,0,154,229,66,184
156458,45897,50,83,231,254,153650,65266,72,44,237,1,42,185
251269,80054,97,80,256,494,224556,97580,69,96,293,140,53,186
167740,36295,96,100,314,275,163838,50415,83,60,326,130,44,189
198312,30807,104,50,151,49,192011,40118,97,95,201,30,46,190
161069,12862,98,73,159,265,153511,16623,141,55,247,59,44,191
187553,49117,74,99,72,345,185809,67249,132,145,113,205,45,193
99640,38704,251,149,367,381,85390,42603,252,102,434,186,39,193
167461,63598,102,138,277,334,162467,85597,97,161,182,108,44,194
153578,12934,96,8,147,497,145682,18083,97,9,196,434,42,195
107164,8680,82,64,375,434,101890,11484,85,41,393,132,37,199
153873,167854,393,531,1442,1213,98753,166931,238,311,1005,888,56,199
123712,7241,96,38,119,293,119475,12134,118,72,236,69,39,200
153228,9957,75,30,153,369,145221,13099,54,83,92,111,43,200
116871,8613,134,63,515,473,113511,11595,163,61,528,278,38,200
93019,33959,171,188,344,687,85374,42087,131,160,318,350,36,180
166165,21125,59,73,121,386,164149,28391,75,144,95,227,44,181
166923,7749,88,76,22,236,164641,9116,71,57,51,0,43,183
136118,22702,116,121,79,99,132401,31507,119,73,55,71,41,185
1006504,131405,155,94,500,260,727227,122251,118,132,354,148,79,186
126383,5310,74,89,259,305,118649,5896,44,94,364,99,40,189
170085,24837,103,22,107,50,165632,30505,93,52,61,6,44,191
197321,13538,88,152,153,391,194200,18285,132,129,342,256,45,191
177276,14482,81,162,103,248,171331,19445,55,104,80,108,45,193
145155,5314,135,38,132,246,139592,7224,112,31,152,15,41,194
160375,14491,22,59,346,286,157739,18611,34,52,417,177,43,194
166508,33146,76,68,103,255,162575,45356,71,37,174,11,43,195
167435,51714,59,33,70,262,163093,71479,118,41,110,108,43,195
185354,25426,48,112,27,396,185913,33410,54,97,52,189,44,196
186046,5285,98,96,136,212,181090,6680,107,70,167,12,45,202
136904,49279,96,59,120,188,130190,67762,73,86,72,38,41,203
157942,24137,74,39,136,295,154355,31659,65,96,233,185,43,206
100345,1608,62,118,241,366,93271,5316,47,102,171,141,37,209
124216,62592,35,111,199,271,114063,84043,65,57,260,162,41,211
184697,32248,56,76,403,145,152484,38493,49,79,361,115,49,211
319444,32797,51,28,117,423,295763,41602,54,93,97,169,52,212
181341,19363,93,100,259,312,175267,24321,81,79,190,114,45,212
140333,37878,135,162,84,171,135163,49832,102,192,105,1,42,213
145331,5006,91,37,194,68,139474,5797,125,68,221,50,41,213
129965,13968,100,17,229,430,121902,18881,82,36,135,170,41,214
179843,32511,76,107,172,243,174312,42633,127,64,177,42,44,219
174638,47287,50,79,101,208,169786,61819,42,68,128,99,44,219
